ticker,entry,price_changes_1,price_changes_3,price_changes_5,price_changes_10,price_changes_20,indicator_changes_1,indicator_changes_3,indicator_changes_5,indicator_changes_10,indicator_changes_20,percentage_of_high_indicator_3,percentage_of_high_indicator_5,percentage_of_high_indicator_10,percentage_of_high_indicator_20,day_1,day_2,day_3,day_4,day_5,close_1,close_2,close_3,close_4,the_high,the_low,the_entry,date,result
AB,47,-4.194,-8.971,-0.745,7.242,5.655,2.706,12.998,5.711,-21.763,-11.128,3.642,6.228,6.228,8.644,-7.584,-0.882,0.297,2.706,11.174,0.9944972486243122,1.0285142571285644,1.0080040020010006,0.9689844922461232,1.067,0.957,19.99,2020-04-15,0.9809904952476238
AB,62,-1.755,0.506,-5.252,11.321,8.391,-0.112,-2.676,5.948,-10.363,-1.569,1.754,3.005,7.522,7.522,-5.92,-0.112,0.933,3.357,7.69,1.0352725606962896,1.0439761795694,1.0320659642693542,0.9821346770499314,1.066,0.945,21.83,2020-05-06,0.9688502061383417
AB,68,1.939,-4.305,-4.602,-7.705,8.451,-2.313,5.838,7.002,8.079,-5.972,0.506,3.312,3.312,7.616,-2.313,-0.811,1.715,1.975,6.436,0.9879406307977737,1.0575139146567718,1.0602968460111317,1.0987940630797774,1.141,0.97,21.56,2020-05-14,1.109461966604824
ABB,23,-5.661,-10.44,-15.447,-16.012,-23.626,7.293,14.738,23.494,25.565,33.927,1.827,1.827,1.827,1.827,-5.768,3.476,5.28,7.293,13.213,0.8937865104565351,0.9357408874468808,0.8226234643589674,0.8608602841291069,0.938,0.792,18.83,2020-03-11,0.8311205354189984
ABB,29,2.364,3.422,-4.813,-25.0,-34.074,-4.236,-7.684,5.936,39.081,54.563,2.291,2.291,2.291,2.291,-7.537,-4.943,-4.236,1.495,21.157,0.9962546555616594,0.9275904639238469,1.0511859969658632,1.1011235259422028,1.19,0.918,16.02,2020-03-19,1.184144742278155
ABB,38,-3.882,-8.946,-5.952,6.006,-25.505,5.008,11.782,8.406,-11.578,37.019,0.277,3.954,3.954,3.954,-6.274,1.003,2.898,5.008,5.771,1.017480409885473,0.9927667269439421,1.0596745027124772,1.0687160940325497,1.113,0.978,16.59,2020-04-01,1.0753465943339362
ABB,51,-3.314,-1.053,-7.237,-3.754,13.863,4.389,2.45,11.842,3.979,-21.924,1.07,1.07,1.07,3.877,-3.512,1.573,2.07,4.389,7.322,1.0076832151300237,1.0082742316784867,1.029550827423168,1.059692671394799,1.11,1.002,16.92,2020-04-21,1.101063829787234
ABB,62,-1.559,-3.808,-7.773,3.695,-0.282,2.306,4.809,9.094,-8.379,-3.982,0.549,0.549,0.713,1.024,0.084,1.647,2.306,2.419,2.638,1.010180995475113,1.0373303167420815,1.0345022624434388,1.0214932126696832,1.043,1.001,17.68,2020-05-06,1.0107466063348416
ABBV,21,-4.064,-7.117,-3.902,-8.523,-7.56,5.629,11.375,9.077,15.567,19.248,2.056,3.36,3.36,3.36,-3.069,0.771,2.162,3.584,5.629,1.026636899912587,0.9960102797182012,0.9223186734128586,1.000234647298521,1.035,0.863,85.22,2020-03-09,0.8715089835626927
ABBV,27,-1.71,-7.125,-16.562,-16.59,-22.05,1.857,9.107,30.639,37.015,45.981,3.882,5.374,5.374,5.374,-7.648,1.858,8.138,13.394,14.897,0.9730136819081764,0.9732877130377783,0.9446575217051049,0.8835616438356164,1.025,0.857,73.0,2020-03-17,0.9246575342465754
ABBV,42,-0.463,0.2,-1.208,11.511,-13.967,-1.403,0.589,5.151,-10.182,34.476,3.287,3.287,6.091,7.059,-2.427,-1.403,0.038,4.419,4.524,1.0425136176431513,1.0592533545901424,1.0678889331739072,1.09180284309818,1.103,0.994,75.27,2020-04-07,1.0876843363889996
ABBV,87,-4.7,-2.474,-0.849,2.466,3.815,5.929,6.229,6.649,3.449,-1.763,2.227,2.227,3.092,3.092,-0.052,0.079,0.222,0.472,5.928,1.0016260162601627,1.0094308943089432,1.0419512195121952,1.0375067750677507,1.053,0.984,92.25,2020-06-11,1.0429268292682927
